,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),Class_cleaned
2655,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbillus,pyramidum,Greater Egyptian gerbil,74.0,73.0,21.0,21.0,3.3,5.0,,2.5,11.0,37.0,0.0329,8.2,captivity,small,acceptable,,,0.45399999999999996,108.5,309.25,Mammals
2656,Animalia,Chordata,Mammalia,Rodentia,Muridae,Grammomys,dolichurus,Woodland mouse,73.0,,24.0,25.0,3.0,,38.0,4.2,,60.0,0.0245,4.4,captivity,small,acceptable,,,,,,Mammals
2657,Animalia,Chordata,Mammalia,Rodentia,Muridae,Hydromys,chrysogaster,Golden-bellied water rat,163.0,135.0,36.0,30.0,3.8,2.1,60.0,24.39,150.0,850.0,0.0167,7.3,captivity,medium,acceptable,,,2.97,900.0,309.75,Mammals
2658,Animalia,Chordata,Mammalia,Rodentia,Muridae,Lemniscomys,barbarus,Barbary striped grass mouse,,,,,4.6,,,,,26.2,,4.4,captivity,medium,acceptable,,,,,,Mammals
2659,Animalia,Chordata,Mammalia,Rodentia,Muridae,Lemniscomys,striatus,Typical striped grass mouse,168.0,,25.0,30.0,4.54,2.0,22.0,1.7,15.0,42.3,,4.8,captivity,medium,acceptable,,,,,,Mammals
2661,Animalia,Chordata,Mammalia,Rodentia,Muridae,Leporillus,conditor,Greater stick-nest rat,227.0,240.0,38.0,36.0,2.2,,,,,332.5,,5.3,captivity,small,acceptable,,,,,,Mammals
2663,Animalia,Chordata,Mammalia,Rodentia,Muridae,Meriones,crassus,Sundevall's jird,61.0,82.0,22.0,20.0,4.0,2.0,67.0,3.35,,35.0,0.0366,5.6,captivity,small,acceptable,,,,,,Mammals
2664,Animalia,Chordata,Mammalia,Rodentia,Muridae,Meriones,libycus,Libyan jird,91.0,,26.0,30.0,5.0,,,5.33,45.0,100.0,,5.2,captivity,medium,acceptable,,,,,,Mammals
2665,Animalia,Chordata,Mammalia,Rodentia,Muridae,Meriones,meridianus,Mid-day jird,,,23.0,21.0,5.6,3.0,,,,53.0,,6.8,captivity,medium,acceptable,,,,,,Mammals
2666,Animalia,Chordata,Mammalia,Rodentia,Muridae,Meriones,persicus,Persian jird,,,26.0,19.0,4.3,,,5.0,,100.0,,6.0,captivity,small,acceptable,,,,,,Mammals
2669,Animalia,Chordata,Mammalia,Rodentia,Muridae,Meriones,unguiculatus,Mongolian jird,43.0,36.0,25.0,24.0,5.0,4.0,46.0,3.0,14.3,53.2,0.0324,6.3,captivity,medium,acceptable,,,0.546,64.8,311.35,Mammals
2670,Animalia,Chordata,Mammalia,Rodentia,Muridae,Meriones,vinogradovi,Vinogradov's jird,,,22.0,,7.0,,,3.0,,150.0,,6.7,captivity,small,acceptable,,,,,,Mammals
2671,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mesembriomys,gouldii,Black-footed tree rat,71.0,,44.0,47.0,2.0,4.0,,34.9,440.5,900.0,0.0327,7.8,captivity,small,acceptable,,,,,,Mammals
2672,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mesembriomys,macrurus,Golden-backed tree rat,,,48.0,50.0,2.0,,,,,268.5,,7.1,captivity,small,acceptable,,,,,,Mammals
2673,Animalia,Chordata,Mammalia,Rodentia,Muridae,Micaelamys,namaquensis,Rock mouse,,,22.0,24.0,3.8,2.0,,2.5,12.5,47.6,,4.7,captivity,small,acceptable,,,0.292,62.6,309.95,Mammals
2674,Animalia,Chordata,Mammalia,Rodentia,Muridae,Micromys,minutus,Old World harvest mouse,40.0,37.0,20.0,18.0,5.2,2.6,21.0,0.9,,6.0,,3.8,captivity,large,acceptable,,,0.201,7.6,311.15,Mammals
2675,Animalia,Chordata,Mammalia,Rodentia,Muridae,Millardia,gleadowi,Sand-colored rat,,,,,2.3,,,,,70.0,,4.0,captivity,small,acceptable,,,,,,Mammals
2678,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,minutoides,Mouse,60.0,77.0,20.0,21.0,4.3,4.0,31.0,0.97,3.3,7.2,0.0832,4.3,captivity,medium,acceptable,,,0.129,8.0,309.45,Mammals
2680,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,musculus,House mouse,42.0,42.0,19.0,22.0,7.0,5.4,30.0,1.25,8.9,20.5,0.0298,4.0,captivity,large,high,0.01,0.3,0.271,18.0,310.05,Mammals
2681,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,spicilegus,Mound-building mouse,,,,,6.7,4.5,,,,,,3.5,captivity,medium,acceptable,,,,,,Mammals
2682,Animalia,Chordata,Mammalia,Rodentia,Muridae,Notomys,alexis,Spinifex hopping mouse,75.0,75.0,35.0,30.0,3.9,,33.0,2.83,12.5,35.0,0.0326,6.4,captivity,medium,acceptable,,,0.252,32.3,311.15,Mammals
2684,Animalia,Chordata,Mammalia,Rodentia,Muridae,Notomys,mitchellii,Mitchell's hopping mouse,73.0,90.0,37.0,30.0,3.3,,37.0,,,52.0,,5.3,captivity,small,acceptable,,,,,,Mammals
2686,Animalia,Chordata,Mammalia,Rodentia,Muridae,Pachyuromys,duprasi,Fat-tailed gerbil,,61.0,20.0,29.0,4.5,,,,,40.0,,8.3,captivity,small,acceptable,,,,,,Mammals
2687,Animalia,Chordata,Mammalia,Rodentia,Muridae,Phloeomys,cumingi,Slender-tailed cloud rat,,,,,1.0,,,,,1750.0,,13.6,captivity,small,acceptable,,,,,,Mammals
2688,Animalia,Chordata,Mammalia,Rodentia,Muridae,Phloeomys,pallidus,Northern Luzon slender-tailed cloud rat,,,,,,,,,,1744.0,,10.7,captivity,medium,acceptable,,,,,,Mammals
2689,Animalia,Chordata,Mammalia,Rodentia,Muridae,Pogonomys,macrourus,Long-tailed tree mouse,,,,,2.4,,,,,57.0,,3.1,captivity,small,acceptable,,,,,,Mammals
2690,Animalia,Chordata,Mammalia,Rodentia,Muridae,Praomys,tullbergi,Tullberg's rock rat,82.0,75.0,24.0,25.0,3.5,4.0,24.0,2.7,10.5,30.0,,5.2,captivity,small,acceptable,,,,,,Mammals
2691,Animalia,Chordata,Mammalia,Rodentia,Muridae,Psammomys,obesus,Fat sand rat,100.0,,24.0,28.0,3.5,,38.0,6.25,40.0,212.0,0.0304,3.2,captivity,medium,acceptable,,,,,,Mammals
2692,Animalia,Chordata,Mammalia,Rodentia,Muridae,Pseudomys,australis,Australian native mouse,145.0,180.0,31.0,26.0,3.1,,,4.0,12.5,65.0,0.0278,7.9,captivity,medium,acceptable,,,,,,Mammals
2693,Animalia,Chordata,Mammalia,Rodentia,Muridae,Pseudomys,chapmani,Western pebble-mound mouse,,,,,,,,,,12.0,,6.8,captivity,small,acceptable,,,,,,Mammals
2694,Animalia,Chordata,Mammalia,Rodentia,Muridae,Pseudomys,fumeus,Smoky mouse,,,,,3.5,1.5,,,,70.0,,6.5,captivity,small,acceptable,,,,,,Mammals
2696,Animalia,Chordata,Mammalia,Rodentia,Muridae,Pseudomys,laborifex,Kimberly mouse,,,,,,,,,,12.0,,6.9,captivity,small,acceptable,,,,,,Mammals
2697,Animalia,Chordata,Mammalia,Rodentia,Muridae,Pseudomys,shortridgei,Heath mouse,335.0,335.0,,,3.0,1.0,,,,64.0,,6.0,captivity,small,acceptable,,,,,,Mammals
2698,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,fuscipes,Bush rat,107.0,90.0,26.0,30.0,5.0,3.3,,4.5,21.3,130.0,,5.3,captivity,small,acceptable,,,0.47100000000000003,76.0,310.65,Mammals
2699,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,lutreolus,Australian swamp rat,79.0,,27.0,25.0,5.0,2.53,,4.87,25.0,115.0,0.0277,4.4,captivity,small,acceptable,,,0.353,109.0,309.85,Mammals
2700,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,norvegicus,Norway rat,90.0,70.0,21.0,25.0,9.9,3.7,,5.81,63.8,300.0,,3.8,captivity,large,acceptable,0.002,0.3,1.4040000000000001,206.9,310.25,Mammals
2701,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,rattus,Rat,90.0,112.0,22.0,26.0,7.3,4.3,36.0,4.55,39.7,200.0,0.0207,4.2,captivity,large,acceptable,,,0.77,117.0,311.15,Mammals
2702,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rhabdomys,pumilio,Four-striped grass mouse,42.0,64.0,25.0,14.0,6.0,4.0,29.0,2.67,8.4,51.0,0.0361,4.5,captivity,medium,acceptable,,,0.179,39.6,310.15,Mammals
2703,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rhombomys,opimus,Great gerbil,105.0,105.0,28.0,22.0,5.0,2.5,,4.75,,285.0,,4.5,captivity,small,acceptable,,,,,,Mammals
2704,Animalia,Chordata,Mammalia,Rodentia,Muridae,Sekeetamys,calurus,Bushy-tailed jird,,,,,2.9,,,,,65.0,,7.3,captivity,medium,acceptable,,,0.27399999999999997,63.6,310.65,Mammals
2706,Animalia,Chordata,Mammalia,Rodentia,Muridae,Tatera,indica,Indian gerbil,77.0,91.0,26.0,24.0,5.4,4.2,48.0,3.0,,146.7,0.024,7.0,captivity,small,acceptable,,,0.42200000000000004,86.9,309.15,Mammals
2712,Animalia,Chordata,Mammalia,Rodentia,Muridae,Zyzomys,palatilis,Carpentarian rock rat,,,,,,,,,,123.0,,6.2,captivity,small,acceptable,,,,,,Mammals
2713,Animalia,Chordata,Mammalia,Rodentia,Muridae,Zyzomys,pedunculatus,Central rock rat,,,,,,,,,,100.0,,7.5,captivity,small,acceptable,,,,,,Mammals
2714,Animalia,Chordata,Mammalia,Rodentia,Myocastoridae,Myocastor,coypus,Nutria,152.0,152.0,131.0,91.0,6.0,2.3,130.0,225.0,1750.0,7850.0,,8.5,captivity,large,high,,,,,307.75,Mammals
2715,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Cricetomys,emini,Giant rat,,,,,1.0,,,,,1300.0,,7.4,captivity,tiny,acceptable,,,,,,Mammals
2716,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Cricetomys,gambianus,Gambian rat,158.0,,34.0,31.0,3.5,3.75,,25.7,,1500.0,0.042,8.4,captivity,small,acceptable,,,6.024,1686.7,308.75,Mammals
2717,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Dendromus,melanotis,Gray climbing mouse,,,25.0,,4.6,,,,,7.4,,4.2,captivity,small,acceptable,,,,,,Mammals
2718,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Dendromus,mesomelas,Brant's climbing mouse,,,,,4.4,,,,,13.0,,3.3,captivity,small,acceptable,,,,,,Mammals
2719,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Hypogeomys,antimena,Malagasy giant rat,730.0,365.0,120.0,35.0,1.0,,,,,1250.0,,12.6,captivity,small,acceptable,,,,,,Mammals
2720,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Mystromys,albicaudatus,White-tailed mouse,109.0,,38.0,32.0,3.0,,36.0,6.5,40.0,106.0,,6.3,captivity,small,acceptable,,,0.7070000000000001,93.8,306.15,Mammals
2721,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Saccostomus,campestris,Pouched mouse,45.0,,21.0,25.0,6.8,,51.0,2.6,,47.4,,4.5,captivity,small,acceptable,,,0.27399999999999997,68.1,308.45,Mammals
2723,Animalia,Chordata,Mammalia,Rodentia,Octodontidae,Octodon,degus,Degu,182.0,182.0,90.0,36.0,6.0,1.8,,14.0,71.2,235.0,0.0323,14.0,captivity,large,acceptable,,,0.958,199.6,310.75,Mammals
2725,Animalia,Chordata,Mammalia,Rodentia,Octodontidae,Spalacopus,cyanus,Coruro,,,80.0,,2.4,1.8,,8.9,,98.0,,10.8,captivity,small,acceptable,,,0.561,126.2,309.65,Mammals
2726,Animalia,Chordata,Mammalia,Rodentia,Pedetidae,Pedetes,capensis,Springhare,1034.0,,80.0,46.0,1.0,3.6,101.0,275.0,1300.0,3500.0,,20.0,captivity,small,acceptable,,,4.427,2300.0,309.05,Mammals
2729,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,harrisii,Harris's antelope squirrel,319.0,,30.0,51.0,6.8,1.0,,3.8,45.0,126.0,,10.6,captivity,medium,acceptable,,,,,,Mammals
2730,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,leucurus,White-tailed antelope squirrel,365.0,365.0,29.0,66.0,8.0,1.3,,3.21,35.0,105.0,0.0284,11.2,captivity,small,acceptable,,,0.511,94.1,310.65,Mammals
2734,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callosciurus,caniceps,Gray-bellied squirrel,,,,,2.2,,,,,257.0,,13.7,captivity,small,acceptable,,,,,,Mammals
2735,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callosciurus,erythraeus,Pallas's squirrel,,,,,1.9,2.0,,,,272.0,,17.0,captivity,small,acceptable,,,,,,Mammals
2736,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callosciurus,finlaysonii,Finlayson's squirrel,,,,,,,,,,,,12.8,captivity,tiny,acceptable,,,,,,Mammals
2737,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callosciurus,notatus,Plantain squirrel,,,,,3.07,,,,,190.0,,14.8,captivity,tiny,acceptable,,,,,,Mammals
2738,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callosciurus,prevostii,Prevost's squirrel,,,48.0,,1.8,,,16.35,,400.0,,21.1,captivity,medium,acceptable,,,,,,Mammals
2739,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,lateralis,Golden-mantled ground squirrel,637.0,,30.0,37.0,5.12,0.94,,6.26,74.2,157.6,0.0411,10.4,captivity,small,acceptable,,,0.9670000000000001,249.6,309.45,Mammals
2742,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Cynomys,ludovicianus,Black-tailed prairie dog,730.0,730.0,30.0,63.0,4.0,1.0,365.0,15.75,148.35,1125.0,0.0111,11.0,captivity,large,high,,,2.358,1112.3,,Mammals
2746,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Funisciurus,anerythrus,Thomas's rope squirrel,,,,,1.5,,,,,218.0,,10.0,captivity,small,acceptable,,,0.58,63.0,,Mammals
2748,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Funisciurus,pyrropus,Fire-footed rope squirrel,,,,,1.8,,,,,271.7,,9.5,captivity,tiny,acceptable,,,,,,Mammals
2750,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Glaucomys,sabrinus,Northern flying squirrel,210.0,,40.0,68.0,3.0,1.0,,5.5,39.74,149.0,0.0088,14.2,captivity,small,acceptable,,,,,,Mammals
2751,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Glaucomys,volans,Southern flying squirrel,210.0,,40.0,58.0,4.0,1.3,134.0,3.35,46.2,65.4,,19.0,captivity,medium,acceptable,,,0.414,67.4,312.15,Mammals
2752,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Heliosciurus,rufobrachium,Red-legged sun squirrel,,,,,2.7,,,,,326.5,,8.7,captivity,small,acceptable,,,0.7440000000000001,230.0,309.15,Mammals
2753,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ictidomys,tridecemlineatus,Thirteen-lined ground squirrel,354.0,225.0,28.0,33.0,7.0,1.2,,3.24,16.0,172.7,,7.9,captivity,small,acceptable,,,0.983,198.4,308.85,Mammals
2757,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,flaviventris,Yellow-bellied marmot,730.0,730.0,30.0,33.0,4.0,0.9,458.0,33.8,479.0,3500.0,,21.2,captivity,tiny,acceptable,,,8.626,4295.0,309.65,Mammals
2758,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,marmota,Alpine marmot,730.0,730.0,35.0,47.0,4.0,1.0,914.0,30.0,,3500.0,,17.4,captivity,medium,acceptable,,,,,,Mammals
2759,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,monax,Woodchuck,548.0,548.0,32.0,46.0,4.5,1.0,,27.0,248.0,4000.0,,14.0,captivity,medium,acceptable,,,3.696,2650.0,310.15,Mammals
2760,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,vancouverensis,Vancouver marmot,1186.0,,30.0,,3.3,0.5,,,,4750.0,,12.1,captivity,medium,acceptable,,,,,,Mammals
2761,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Otospermophilus,variegatus,Rock squirrel,,,30.0,53.0,4.3,1.5,,7.8,100.0,663.0,,9.8,captivity,small,acceptable,,,,,,Mammals
2764,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Petaurista,alborufus,Red and white giant flying squirrel,,,,,,,,,,1700.0,,21.4,captivity,small,acceptable,,,,,,Mammals
2765,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Petaurista,leucogenys,Japanese giant flying squirrel,,,,,,,,5.0,,1650.0,,19.2,captivity,small,acceptable,,,,,,Mammals
2769,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Poliocitellus,franklinii,Franklin's ground squirrel,327.0,327.0,28.0,42.0,7.5,1.0,,9.0,,459.0,,7.2,captivity,small,acceptable,,,2.19,607.0,,Mammals
2771,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Pteromys,volans,Siberian flying squirrel,,,30.0,46.0,2.6,1.5,,,,130.0,,11.4,captivity,medium,acceptable,,,,,,Mammals
2773,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ratufa,bicolor,Black giant squirrel,1078.0,,32.0,,1.4,2.0,278.0,77.0,,2000.0,,19.0,captivity,tiny,acceptable,,,,,,Mammals
2774,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ratufa,indica,Indian giant squirrel,,,84.0,,1.0,,,,,2000.0,,20.0,captivity,small,acceptable,,,,,,Mammals
2778,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,aureogaster,Red-bellied squirrel,,,,,2.0,,,,,600.0,,11.5,captivity,small,acceptable,,,,,,Mammals
2779,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,carolinensis,Eastern gray squirrel,343.0,401.0,44.0,66.0,4.0,2.0,,15.0,200.0,533.0,0.0234,23.6,captivity,small,acceptable,,,2.062,440.0,311.85,Mammals
2781,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,granatensis,Red-tailed squirrel,,,,61.0,1.93,1.95,,9.5,,374.0,,11.5,captivity,tiny,acceptable,,,,,,Mammals
2785,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,niger,Eastern fox squirrel,353.0,353.0,44.0,84.0,3.0,1.0,,15.0,,800.0,0.018000000000000002,16.0,captivity,tiny,acceptable,,,,,,Mammals
2787,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,variegatoides,Variegated squirrel,,,,,5.0,,,,,485.0,,15.1,captivity,small,acceptable,,,,,,Mammals
2788,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,vulgaris,Eurasian red squirrel,296.0,320.0,38.0,62.0,5.0,2.0,91.0,9.25,,600.0,0.021,14.8,captivity,medium,acceptable,,,,,,Mammals
2789,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,citellus,European ground squirrel,314.0,314.0,27.0,34.0,6.0,1.3,,,,217.0,,6.7,captivity,medium,acceptable,,,1.272,240.0,310.65,Mammals
2790,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,pygmaeus,Little ground squirrel,,,27.0,,7.1,1.0,,,,136.0,,7.1,captivity,small,acceptable,,,,,,Mammals
2791,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sundasciurus,hippurus,Horse-tailed squirrel,,,,,,,,,,312.5,,14.0,captivity,small,acceptable,,,,,,Mammals
2792,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sundasciurus,lowii,Low's squirrel,,,,,2.5,,,,,67.0,,11.1,captivity,small,acceptable,,,,,,Mammals
2793,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sundasciurus,tenuis,Slender squirrel,,,,,3.0,,,,,75.0,,10.0,captivity,small,acceptable,,,,,,Mammals
2795,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,dorsalis,Cliff chipmunk,,,30.0,,5.2,1.5,,,,62.8,,12.6,captivity,tiny,acceptable,,,,,,Mammals
2796,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,minimus,Least chipmunk,365.0,,30.0,44.0,4.9,1.0,365.0,2.3,,44.1,,10.0,captivity,small,acceptable,,,0.349,49.3,310.15,Mammals
2800,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,sibiricus,Siberian chipmunk,350.0,350.0,35.0,40.0,4.8,1.1,103.0,4.0,,85.0,,9.6,captivity,medium,acceptable,,,,,,Mammals
2801,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,striatus,Eastern chipmunk,187.0,228.0,31.0,36.0,5.0,1.5,,3.4,50.5,96.0,,9.5,captivity,small,acceptable,,,0.813,89.6,311.35,Mammals
2802,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,townsendii,Townsend's chipmunk,353.0,,28.0,50.0,4.5,1.0,,3.5,35.0,75.0,0.0333,9.3,captivity,small,acceptable,,,,,,Mammals
2803,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Red squirrel,342.0,,37.0,63.0,4.2,1.7,,7.0,83.8,200.0,0.0216,9.8,captivity,tiny,acceptable,,,1.615,219.6,311.85,Mammals
2807,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Xerospermophilus,mohavensis,Mohave ground squirrel,,,24.0,36.0,6.0,,,4.5,30.0,150.0,,7.8,captivity,small,acceptable,,,0.629,240.0,310.15,Mammals
2808,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Xerospermophilus,tereticaudus,Round-tailed ground squirrel,325.0,325.0,28.0,39.0,5.4,1.0,,3.9,75.0,163.3,,8.9,captivity,tiny,acceptable,,,0.501,125.1,309.45,Mammals
2809,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Xerus,erythropus,Striped ground squirrel,365.0,365.0,71.0,53.0,3.5,,,,,600.0,,10.3,captivity,small,acceptable,,,,,,Mammals
2810,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Xerus,inauris,South African ground squirrel,365.0,365.0,45.0,50.0,2.2,1.0,,20.0,,588.0,,11.5,captivity,small,acceptable,,,1.775,528.5,309.95,Mammals
2811,Animalia,Chordata,Mammalia,Rodentia,Spalacidae,Cannomys,badius,Lesser bamboo rat,,,42.0,61.0,1.8,,,7.0,,650.0,0.0145,4.8,captivity,small,acceptable,,,0.96,344.0,309.15,Mammals
2813,Animalia,Chordata,Mammalia,Rodentia,Spalacidae,Spalax,ehrenbergi,Palestine mole rat,,,,,3.0,1.0,,,,160.0,,20.2,captivity,small,acceptable,,,0.585,133.8,308.7,Mammals
2815,Animalia,Chordata,Mammalia,Rodentia,Thryonomyidae,Thryonomys,swinderianus,Greater cane rat,365.0,365.0,155.0,30.0,4.0,2.3,,129.0,,6600.0,,5.4,captivity,tiny,acceptable,,,,,,Mammals
2817,Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Tupaia,belangeri,Northern tree shrew,,,46.0,36.0,2.0,7.5,,10.0,,200.0,0.0351,11.1,captivity,medium,acceptable,,,,,311.95,Mammals
2818,Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Tupaia,glis,Common tree shrew,90.0,90.0,46.0,36.0,2.0,2.5,45.0,12.94,100.0,200.0,,12.4,captivity,medium,acceptable,,,0.522,123.0,310.15,Mammals
2819,Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Tupaia,minor,Pygmy tree shrew,,,,,2.0,,,,,58.6,,12.2,captivity,tiny,acceptable,,,,,,Mammals
2820,Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Tupaia,tana,Large tree shrew,,,,31.0,2.2,,,,,197.8,,11.6,captivity,tiny,acceptable,,,,,,Mammals
2821,Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Urogale,everetti,Mindanao tree shrew,,,55.0,38.0,2.0,,,20.0,104.4,350.0,,11.5,captivity,small,acceptable,,,1.25,260.6,309.15,Mammals
2822,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,dugon,Dugong,3470.0,3470.0,374.0,548.0,1.0,0.2,1521.0,27500.0,,360000.0,,73.0,captivity,small,acceptable,,,,,306.15,Mammals
2823,Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus,inunguis,Amazonian manatee,1096.0,1096.0,328.0,548.0,1.0,0.5,,12500.0,67500.0,480000.0,,40.0,captivity,small,acceptable,,,55.015,167594.0,,Mammals
2824,Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus,manatus,West Indian manatee,1278.0,913.0,335.0,456.0,1.0,0.4,1187.0,32000.0,,322000.0,0.0024,69.0,captivity,medium,acceptable,,,70.0056,450000.0,,Mammals
2826,Animalia,Chordata,Mammalia,Soricomorpha,Solenodontidae,Solenodon,paradoxus,Hispaniolan solenodon,,,50.0,75.0,2.0,2.0,,100.0,,1000.0,,12.1,captivity,small,acceptable,,,,,,Mammals
2827,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Blarina,brevicauda,Northern short-tailed shrew,46.0,65.0,17.0,23.0,6.0,3.0,,1.34,,21.6,0.188,2.2,captivity,small,acceptable,,,0.344,20.9,,Mammals
2828,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Blarina,hylophaga,Elliot's short-tailed shrew,84.0,42.0,23.0,30.0,6.5,1.5,,,14.5,14.5,,2.8,captivity,small,acceptable,,,,,,Mammals
2829,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,flavescens,Greater red musk shrew,,,25.0,,3.3,,,2.26,20.7,45.0,,2.2,captivity,small,acceptable,,,0.248,33.2,,Mammals
2830,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,leucodon,Bicolored shrew,95.0,95.0,30.0,22.0,5.0,,,0.9329999999999999,,11.0,0.1,2.9,captivity,small,acceptable,,,0.166,11.7,308.15,Mammals
2831,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,russula,White-toothed shrew,75.0,75.0,29.0,23.0,4.0,3.5,28.0,0.945,7.7,11.6,0.146,4.0,captivity,tiny,acceptable,,,0.14300000000000002,10.8,307.85,Mammals
2832,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,suaveolens,Lesser shrew,175.0,365.0,27.0,25.0,4.0,3.5,,0.53,4.0,7.7,0.0953,2.8,captivity,small,acceptable,,,0.11199999999999999,6.9,308.25,Mammals
2833,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Cryptotis,parva,Least shrew,40.0,43.0,21.0,19.0,4.5,2.5,,0.34,3.85,4.5,0.134,3.5,captivity,medium,acceptable,,,0.16399999999999998,6.3,310.15,Mammals
2834,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Myosorex,varius,Forest shrew,,,,22.0,3.0,2.0,,1.0,,17.5,,2.1,captivity,small,acceptable,,,,,308.95,Mammals
